"","Datetime","Adj Close","Lower Bound","Upper Bound"
"1",2023-02-21 00:00:00,24871.771484375,NA,NA
"2",2023-02-21 01:00:00,24878.693359375,NA,NA
"3",2023-02-21 02:00:00,24956.50390625,NA,NA
"4",2023-02-21 03:00:00,24925.9296875,NA,NA
"5",2023-02-21 04:00:00,24905.798828125,NA,NA
"6",2023-02-21 05:00:00,24942.052734375,NA,NA
"7",2023-02-21 06:00:00,25014.833984375,NA,NA
"8",2023-02-21 07:00:00,25004.19921875,NA,NA
"9",2023-02-21 08:00:00,24708.138671875,NA,NA
"10",2023-02-21 09:00:00,24799.59375,NA,NA
"11",2023-02-21 10:00:00,24703.2734375,NA,NA
"12",2023-02-21 11:00:00,24629.017578125,NA,NA
"13",2023-02-21 12:00:00,24629.36328125,NA,NA
"14",2023-02-21 13:00:00,24566.556640625,NA,NA
"15",2023-02-21 14:00:00,24696.193359375,NA,NA
"16",2023-02-21 15:00:00,24580.814453125,NA,NA
"17",2023-02-21 16:00:00,24415.943359375,NA,NA
"18",2023-02-21 17:00:00,24583.72265625,NA,NA
"19",2023-02-21 18:00:00,24698.94921875,NA,NA
"20",2023-02-21 19:00:00,24616.923828125,NA,NA
"21",2023-02-21 20:00:00,24488.583984375,NA,NA
"22",2023-02-21 21:00:00,24212.5234375,NA,NA
"23",2023-02-21 22:00:00,24380.263671875,NA,NA
"24",2023-02-21 23:00:00,24436.33984375,NA,NA
"25",2023-02-22 00:00:00,24378.23828125,NA,NA
"26",2023-02-22 01:00:00,24204.5546875,NA,NA
"27",2023-02-22 02:00:00,24167.48828125,NA,NA
"28",2023-02-22 03:00:00,24233.94140625,NA,NA
"29",2023-02-22 04:00:00,24132.9921875,NA,NA
"30",2023-02-22 05:00:00,24112.994140625,NA,NA
"31",2023-02-22 06:00:00,23989.2109375,NA,NA
"32",2023-02-22 07:00:00,24075.126953125,NA,NA
"33",2023-02-22 08:00:00,23967.302734375,NA,NA
"34",2023-02-22 09:00:00,24111.12109375,NA,NA
"35",2023-02-22 10:00:00,24174.130859375,NA,NA
"36",2023-02-22 11:00:00,24164.779296875,NA,NA
"37",2023-02-22 12:00:00,24137.484375,NA,NA
"38",2023-02-22 13:00:00,24135.123046875,NA,NA
"39",2023-02-22 14:00:00,23992.8046875,NA,NA
"40",2023-02-22 15:00:00,23765.552734375,NA,NA
