Datetime,Open,High,Low,Close,Adj Close,Volume
2023-02-23 00:00:00+00:00,24190.71875,24191.5078125,24187.9453125,24191.5078125,24191.5078125,0
2023-02-23 00:05:00+00:00,24193.5390625,24193.5390625,24175.861328125,24175.861328125,24175.861328125,0
2023-02-23 00:10:00+00:00,24172.869140625,24187.087890625,24172.869140625,24187.087890625,24187.087890625,0
2023-02-23 00:15:00+00:00,24195.810546875,24212.591796875,24195.810546875,24212.591796875,24212.591796875,18757632
2023-02-23 00:20:00+00:00,24214.048828125,24229.474609375,24214.048828125,24224.0625,24224.0625,49788928
2023-02-23 00:25:00+00:00,24220.5859375,24220.5859375,24199.048828125,24199.048828125,24199.048828125,6754304
2023-02-23 00:30:00+00:00,24193.033203125,24195.466796875,24167.857421875,24167.857421875,24167.857421875,43452416
2023-02-23 00:35:00+00:00,24164.794921875,24174.9140625,24164.794921875,24174.9140625,24174.9140625,37126144
2023-02-23 00:40:00+00:00,24167.533203125,24167.533203125,24160.6875,24160.6875,24160.6875,561152
2023-02-23 00:45:00+00:00,24164.376953125,24169.552734375,24164.08984375,24169.552734375,24169.552734375,0
2023-02-23 00:50:00+00:00,24169.689453125,24169.689453125,24159.439453125,24159.787109375,24159.787109375,0
2023-02-23 00:55:00+00:00,24152.060546875,24152.060546875,24144.072265625,24144.240234375,24144.240234375,0
2023-02-23 01:00:00+00:00,24145.1484375,24145.44140625,24138.37109375,24138.37109375,24138.37109375,0
2023-02-23 01:05:00+00:00,24139.16796875,24153.158203125,24139.16796875,24153.158203125,24153.158203125,0
2023-02-23 01:10:00+00:00,24170.74609375,24170.74609375,24160.3203125,24160.3203125,24160.3203125,0
2023-02-23 01:15:00+00:00,24154.060546875,24167.986328125,24154.060546875,24167.986328125,24167.986328125,0
2023-02-23 01:20:00+00:00,24169.12890625,24169.12890625,24162.599609375,24162.599609375,24162.599609375,733184
2023-02-23 01:25:00+00:00,24160.03125,24167.05078125,24160.03125,24167.05078125,24167.05078125,4261888
2023-02-23 01:30:00+00:00,24168.857421875,24168.857421875,24164.412109375,24165.771484375,24165.771484375,0
2023-02-23 01:35:00+00:00,24165.794921875,24186.1796875,24165.794921875,24185.111328125,24185.111328125,7387136
2023-02-23 01:40:00+00:00,24180.509765625,24180.509765625,24164.212890625,24164.212890625,24164.212890625,0
2023-02-23 01:45:00+00:00,24162.099609375,24164.69921875,24162.099609375,24162.279296875,24162.279296875,0
2023-02-23 01:50:00+00:00,24158.87109375,24160.87109375,24156.900390625,24156.900390625,24156.900390625,0
2023-02-23 01:55:00+00:00,24155.125,24161.146484375,24155.125,24161.146484375,24161.146484375,0
2023-02-23 02:00:00+00:00,24164.505859375,24193.61328125,24164.505859375,24193.61328125,24193.61328125,0
2023-02-23 02:05:00+00:00,24204.564453125,24235.81640625,24204.564453125,24235.81640625,24235.81640625,0
2023-02-23 02:10:00+00:00,24241.1328125,24241.1328125,24207.560546875,24207.560546875,24207.560546875,0
2023-02-23 02:15:00+00:00,24203.51953125,24208.61328125,24194.87109375,24208.61328125,24208.61328125,0
2023-02-23 02:20:00+00:00,24209.166015625,24226.18359375,24209.166015625,24226.18359375,24226.18359375,8765440
2023-02-23 02:25:00+00:00,24230.552734375,24251.90234375,24230.46875,24251.90234375,24251.90234375,0
2023-02-23 02:30:00+00:00,24252.466796875,24294.47265625,24252.466796875,24294.47265625,24294.47265625,0
2023-02-23 02:35:00+00:00,24306.671875,24378.5625,24306.671875,24378.5625,24378.5625,58908672
2023-02-23 02:40:00+00:00,24407.078125,24451.423828125,24407.078125,24451.423828125,24451.423828125,80812032
2023-02-23 02:45:00+00:00,24469.853515625,24518.966796875,24469.853515625,24518.966796875,24518.966796875,196186112
2023-02-23 02:50:00+00:00,24521.1796875,24521.1796875,24515.130859375,24519.4609375,24519.4609375,115210240
2023-02-23 02:55:00+00:00,24540.279296875,24542.30859375,24539.86328125,24542.30859375,24542.30859375,81504256
2023-02-23 03:00:00+00:00,24533.599609375,24533.599609375,24529.6015625,24533.58203125,24533.58203125,0
2023-02-23 03:05:00+00:00,24572.08984375,24572.08984375,24541.607421875,24541.607421875,24541.607421875,0
2023-02-23 03:10:00+00:00,24536.5546875,24536.5546875,24526.515625,24526.515625,24526.515625,10352640
2023-02-23 03:15:00+00:00,24526.828125,24533.380859375,24526.828125,24533.380859375,24533.380859375,34430976
2023-02-23 03:20:00+00:00,24543.75,24565.068359375,24543.75,24559.564453125,24559.564453125,31848448
2023-02-23 03:25:00+00:00,24541.865234375,24547.75390625,24541.865234375,24547.501953125,24547.501953125,12689408
2023-02-23 03:30:00+00:00,24543.0546875,24543.0546875,24531.697265625,24531.697265625,24531.697265625,2076672
2023-02-23 03:35:00+00:00,24522.5078125,24542.525390625,24522.5078125,24542.525390625,24542.525390625,0
2023-02-23 03:40:00+00:00,24542.197265625,24542.197265625,24527.357421875,24527.357421875,24527.357421875,11825152
2023-02-23 03:45:00+00:00,24520.578125,24520.578125,24508.076171875,24508.076171875,24508.076171875,18067456
2023-02-23 03:50:00+00:00,24492.48828125,24492.48828125,24488.279296875,24489.486328125,24489.486328125,57131008
2023-02-23 03:55:00+00:00,24491.107421875,24491.107421875,24478.12890625,24478.12890625,24478.12890625,0
2023-02-23 04:00:00+00:00,24475.09375,24475.09375,24466.802734375,24471.095703125,24471.095703125,0
2023-02-23 04:05:00+00:00,24478.771484375,24479.0546875,24473.146484375,24479.0546875,24479.0546875,0
2023-02-23 04:10:00+00:00,24480.73828125,24480.73828125,24465.0078125,24465.0078125,24465.0078125,8394752
